controller,case_id,split,opponent,side,damage_delta,contaminated
bc,development_autopilot_left_s8801,development,autopilot,left,-0.00035129398607214313,False
bc,development_autopilot_right_s8802,development,autopilot,right,-0.0052003858824922755,False
bc,development_bt_0815_left_s8803,development,bt_0815,left,0.0,True
bc,development_bt_0815_right_s8804,development,bt_0815,right,0.0,True
bc,development_bt_aip2_left_s8805,development,bt_aip2,left,0.0,True
bc,development_bt_aip2_right_s8806,development,bt_aip2,right,0.0,True
bc,held_out_autopilot_left_s8901,held_out,autopilot,left,-0.004357631051984834,False
bc,held_out_autopilot_right_s8902,held_out,autopilot,right,-0.002410595542192029,False
bc,held_out_bt_0815_left_s8903,held_out,bt_0815,left,0.0,True
bc,held_out_bt_0815_right_s8904,held_out,bt_0815,right,0.0,True
bc,held_out_bt_aip2_left_s8905,held_out,bt_aip2,left,0.0,True
bc,held_out_bt_aip2_right_s8906,held_out,bt_aip2,right,0.0,True
bt_default,development_autopilot_left_s8801,development,autopilot,left,0.0,False
bt_default,development_autopilot_right_s8802,development,autopilot,right,0.0,False
bt_default,development_bt_0815_left_s8803,development,bt_0815,left,0.0,True
bt_default,development_bt_0815_right_s8804,development,bt_0815,right,0.0,True
bt_default,development_bt_aip2_left_s8805,development,bt_aip2,left,0.0,True
bt_default,development_bt_aip2_right_s8806,development,bt_aip2,right,0.0,True
bt_default,held_out_autopilot_left_s8901,held_out,autopilot,left,0.0,False
bt_default,held_out_autopilot_right_s8902,held_out,autopilot,right,0.0,False
bt_default,held_out_bt_0815_left_s8903,held_out,bt_0815,left,0.0,True
bt_default,held_out_bt_0815_right_s8904,held_out,bt_0815,right,0.0,True
bt_default,held_out_bt_aip2_left_s8905,held_out,bt_aip2,left,0.0,True
bt_default,held_out_bt_aip2_right_s8906,held_out,bt_aip2,right,0.0,True
