sample_id,source_git_sha,scenario_hash,state_seed,geometry,canonical_geometry,snapshot_frame,shot_window_elapsed,observation_tactical16,bt_action,surface_authority,action_class_world,action_class_canonical,raw_residual,requested_correction,applied_correction,damage_pure,damage_candidate,damage_delta,cone_delta,first_damage_delta,contamination,ownship_crash,target_crash,label_confidence,label_reason
lateral_left_e00__roll_pos,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7101,lateral_left,lateral,380,0,"[0.8117555379867554,-0.2532888948917389,0.9851499795913696,-0.2749825417995453,-0.36175259947776794,1.0,0.05759647488594055,-0.0024844310246407986,0.04564569145441055,0.0011696964502334595,-0.10194499045610428,-0.0005610641092061996,0.0020574249792844057,1.0,-1.0,0.3645620346069336]","[0.09468933194875717,-0.1773742437362671,-0.006590972654521465,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.9842184720632724,0.0,0.0]}",roll_pos,roll_pos,"[0.19867990911006927,0.0,0.0,0.0]","[0.02483498863875866,0.0,0.0,0.0]","[0.02444305457174778,0.0,0.0,0.0]",1.0059801860350506,1.0004763083160109,-0.005503877719039707,-0.016666666666666607,0.0,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e00__roll_neg,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7101,lateral_left,lateral,380,0,"[0.8117555379867554,-0.2532888948917389,0.9851499795913696,-0.2749825417995453,-0.36175259947776794,1.0,0.05759647488594055,-0.0024844310246407986,0.04564569145441055,0.0011696964502334595,-0.10194499045610428,-0.0005610641092061996,0.0020574249792844057,1.0,-1.0,0.3645620346069336]","[0.09468933194875717,-0.1773742437362671,-0.006590972654521465,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.9082490155076498,0.0,0.0]}",roll_neg,roll_neg,"[-0.19867990911006927,0.0,0.0,0.0]","[-0.02483498863875866,0.0,0.0,0.0]","[-0.022556353981296223,0.0,0.0,0.0]",1.0059801860350506,1.000160738293294,-0.005819447741756578,-0.016666666666666607,0.0,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e00__pitch_pos,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7101,lateral_left,lateral,380,0,"[0.8117555379867554,-0.2532888948917389,0.9851499795913696,-0.2749825417995453,-0.36175259947776794,1.0,0.05759647488594055,-0.0024844310246407986,0.04564569145441055,0.0011696964502334595,-0.10194499045610428,-0.0005610641092061996,0.0020574249792844057,1.0,-1.0,0.3645620346069336]","[0.09468933194875717,-0.1773742437362671,-0.006590972654521465,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.0,1.0000000750008455,0.0]}",pitch_pos,pitch_pos,"[0.0,0.19867990911006927,0.0,0.0]","[0.0,0.02483498863875866,0.0,0.0]","[0.0,0.02483499050140381,0.0,0.0]",1.0059801860350506,1.0061452902771533,0.00016510424210269825,0.0,0.0,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e00__pitch_neg,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7101,lateral_left,lateral,380,0,"[0.8117555379867554,-0.2532888948917389,0.9851499795913696,-0.2749825417995453,-0.36175259947776794,1.0,0.05759647488594055,-0.0024844310246407986,0.04564569145441055,0.0011696964502334595,-0.10194499045610428,-0.0005610641092061996,0.0020574249792844057,1.0,-1.0,0.3645620346069336]","[0.09468933194875717,-0.1773742437362671,-0.006590972654521465,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.0,0.8161796024250174,0.0]}",pitch_neg,pitch_neg,"[0.0,-0.19867990911006927,0.0,0.0]","[0.0,-0.02483498863875866,0.0,0.0]","[0.0,-0.020269811153411865,0.0,0.0]",1.0059801860350506,1.0022264346410736,-0.003753751393976934,0.0,-0.016666666666667496,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e00__yaw_pos,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7101,lateral_left,lateral,380,0,"[0.8117555379867554,-0.2532888948917389,0.9851499795913696,-0.2749825417995453,-0.36175259947776794,1.0,0.05759647488594055,-0.0024844310246407986,0.04564569145441055,0.0011696964502334595,-0.10194499045610428,-0.0005610641092061996,0.0020574249792844057,1.0,-1.0,0.3645620346069336]","[0.09468933194875717,-0.1773742437362671,-0.006590972654521465,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.0,0.0,0.9787986359546204]}",yaw_pos,yaw_pos,"[0.0,0.0,0.19867990911006927,0.0]","[0.0,0.0,0.02483498863875866,0.0]","[0.0,0.0,0.02430845331400633,0.0]",1.0059801860350506,1.0066821225283031,0.000701936493252564,0.0,0.0,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e00__yaw_neg,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7101,lateral_left,lateral,380,0,"[0.8117555379867554,-0.2532888948917389,0.9851499795913696,-0.2749825417995453,-0.36175259947776794,1.0,0.05759647488594055,-0.0024844310246407986,0.04564569145441055,0.0011696964502334595,-0.10194499045610428,-0.0005610641092061996,0.0020574249792844057,1.0,-1.0,0.3645620346069336]","[0.09468933194875717,-0.1773742437362671,-0.006590972654521465,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.0,0.0,0.9989015126145547]}",yaw_neg,yaw_neg,"[0.0,0.0,-0.19867990911006927,0.0]","[0.0,0.0,-0.02483498863875866,0.0]","[0.0,0.0,-0.024807707406580448,0.0]",1.0059801860350506,1.0030102506913938,-0.002969935343656749,0.0,-0.016666666666667496,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e03__roll_pos,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7102,lateral_left,lateral,383,3,"[0.8129888772964478,-0.25611111521720886,0.9854110479354858,-0.2732677757740021,-0.3624342381954193,1.0,0.05737417936325073,-0.002367122331634164,0.04595288261771202,0.001391931320540607,-0.10061915218830109,-0.0009262405801564455,0.0020756053272634745,1.0,-1.0,0.3641672134399414]","[-0.031730759888887405,-0.1782257854938507,0.007531902752816677,1.0]","{""applied_to_requested_ratio_mean_axis"":[1.0000000531255988,0.0,0.0]}",roll_pos,roll_pos,"[0.19867990911006927,0.0,0.0,0.0]","[0.02483498863875866,0.0,0.0,0.0]","[0.02483498988052209,0.0,0.0,0.0]",1.0059801860350506,1.0002900386677267,-0.005690147367323872,0.0,-0.016666666666667496,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e03__roll_neg,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7102,lateral_left,lateral,383,3,"[0.8129888772964478,-0.25611111521720886,0.9854110479354858,-0.2732677757740021,-0.3624342381954193,1.0,0.05737417936325073,-0.002367122331634164,0.04595288261771202,0.001391931320540607,-0.10061915218830109,-0.0009262405801564455,0.0020756053272634745,1.0,-1.0,0.3641672134399414]","[-0.031730759888887405,-0.1782257854938507,0.007531902752816677,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.8737959645495003,0.0,0.0]}",roll_neg,roll_neg,"[-0.19867990911006927,0.0,0.0,0.0]","[-0.02483498863875866,0.0,0.0,0.0]","[-0.021700712852180004,0.0,0.0,0.0]",1.0059801860350506,1.0028767584802176,-0.0031034275548329493,0.0,0.0,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e03__pitch_pos,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7102,lateral_left,lateral,383,3,"[0.8129888772964478,-0.25611111521720886,0.9854110479354858,-0.2732677757740021,-0.3624342381954193,1.0,0.05737417936325073,-0.002367122331634164,0.04595288261771202,0.001391931320540607,-0.10061915218830109,-0.0009262405801564455,0.0020756053272634745,1.0,-1.0,0.3641672134399414]","[-0.031730759888887405,-0.1782257854938507,0.007531902752816677,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.0,1.0000000750008455,0.0]}",pitch_pos,pitch_pos,"[0.0,0.19867990911006927,0.0,0.0]","[0.0,0.02483498863875866,0.0,0.0]","[0.0,0.02483499050140381,0.0,0.0]",1.0059801860350506,1.0062524152097794,0.0002722291747287997,0.0,0.0,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
lateral_left_e03__pitch_neg,281fa2170ec14dcb626ac9632cd2cc75df316745,49753E1122EC19455243A6F5E02FCD105354D998031D40DD27248FBB3B60DABC,7102,lateral_left,lateral,383,3,"[0.8129888772964478,-0.25611111521720886,0.9854110479354858,-0.2732677757740021,-0.3624342381954193,1.0,0.05737417936325073,-0.002367122331634164,0.04595288261771202,0.001391931320540607,-0.10061915218830109,-0.0009262405801564455,0.0020756053272634745,1.0,-1.0,0.3641672134399414]","[-0.031730759888887405,-0.1782257854938507,0.007531902752816677,1.0]","{""applied_to_requested_ratio_mean_axis"":[0.0,0.8264988187741816,0.0]}",pitch_neg,pitch_neg,"[0.0,-0.19867990911006927,0.0,0.0]","[0.0,-0.02483498863875866,0.0,0.0]","[0.0,-0.020526088774204254,0.0,0.0]",1.0059801860350506,1.0067576353837795,0.0007774493487289202,0.0,0.0,CLEAN,False,False,0.0,EXCLUDED_SIGNAL_GATE_FAILED
